Epoch 164 | avg_return = 0.41 | loss: val = 3.34, pol = -2.23 | time = 12.11 | emb_accuracy = 0.92
Epoch 165 | avg_return = 0.40 | loss: val = 3.30, pol = -1.87 | time = 12.10 | emb_accuracy = 0.90
Epoch 166 | avg_return = 0.39 | loss: val = 3.32, pol = -2.09 | time = 12.38 | emb_accuracy = 0.92
Epoch 167 | avg_return = 0.42 | loss: val = 3.41, pol = -5.26 | time = 12.49 | emb_accuracy = 0.82
Epoch 168 | avg_return = 0.46 | loss: val = 3.32, pol = -2.00 | time = 12.31 | emb_accuracy = 0.93
Epoch 169 | avg_return = 0.38 | loss: val = 3.17, pol = 0.06 | time = 12.46 | emb_accuracy = 0.95
Epoch 170 | avg_return = 0.43 | loss: val = 3.56, pol = -6.29 | time = 12.75 | emb_accuracy = 0.88
Epoch 171 | avg_return = 0.40 | loss: val = 3.23, pol = -4.17 | time = 12.56 | emb_accuracy = 0.91
Epoch 172 | avg_return = 0.44 | loss: val = 3.36, pol = -2.60 | time = 12.20 | emb_accuracy = 0.91
Epoch 173 | avg_return = 0.38 | loss: val = 3.11, pol = -4.86 | time = 12.47 | emb_accuracy = 0.88
Epoch 174 | avg_return = 0.46 | loss: val = 3.27, pol = -2.45 | time = 12.35 | emb_accuracy = 0.89
Epoch 175 | avg_return = 0.43 | loss: val = 3.43, pol = -3.51 | time = 12.61 | emb_accuracy = 0.84
Epoch 176 | avg_return = 0.44 | loss: val = 3.00, pol = -0.25 | time = 12.05 | emb_accuracy = 0.93
Epoch 177 | avg_return = 0.44 | loss: val = 3.17, pol = -2.10 | time = 12.07 | emb_accuracy = 0.88
Epoch 178 | avg_return = 0.44 | loss: val = 3.14, pol = -4.25 | time = 12.08 | emb_accuracy = 0.89
Epoch 179 | avg_return = 0.44 | loss: val = 3.18, pol = -2.60 | time = 12.15 | emb_accuracy = 0.85
Epoch 180 | avg_return = 0.47 | loss: val = 3.04, pol = -2.98 | time = 12.03 | emb_accuracy = 0.94
Epoch 181 | avg_return = 0.48 | loss: val = 3.12, pol = -2.54 | time = 12.05 | emb_accuracy = 0.95
Epoch 182 | avg_return = 0.44 | loss: val = 3.24, pol = -4.61 | time = 12.20 | emb_accuracy = 0.91
Epoch 183 | avg_return = 0.44 | loss: val = 3.40, pol = -3.44 | time = 12.57 | emb_accuracy = 0.93
Epoch 184 | avg_return = 0.46 | loss: val = 3.11, pol = -3.17 | time = 12.29 | emb_accuracy = 0.93
Epoch 185 | avg_return = 0.48 | loss: val = 3.04, pol = -2.54 | time = 12.17 | emb_accuracy = 0.90
Epoch 186 | avg_return = 0.44 | loss: val = 3.05, pol = -4.62 | time = 12.20 | emb_accuracy = 0.94
Epoch 187 | avg_return = 0.50 | loss: val = 3.09, pol = 0.07 | time = 12.11 | emb_accuracy = 0.94
Epoch 188 | avg_return = 0.48 | loss: val = 3.03, pol = -5.51 | time = 12.33 | emb_accuracy = 0.93
Epoch 189 | avg_return = 0.47 | loss: val = 3.03, pol = -3.81 | time = 12.16 | emb_accuracy = 0.92
Epoch 190 | avg_return = 0.42 | loss: val = 3.67, pol = -6.08 | time = 12.15 | emb_accuracy = 0.91
Epoch 191 | avg_return = 0.43 | loss: val = 3.08, pol = -1.06 | time = 12.90 | emb_accuracy = 0.91
Epoch 192 | avg_return = 0.46 | loss: val = 3.05, pol = -3.99 | time = 12.42 | emb_accuracy = 0.91
Epoch 193 | avg_return = 0.46 | loss: val = 3.32, pol = -2.35 | time = 12.12 | emb_accuracy = 0.94
Epoch 194 | avg_return = 0.51 | loss: val = 3.23, pol = -4.12 | time = 12.64 | emb_accuracy = 0.93
Epoch 195 | avg_return = 0.49 | loss: val = 3.14, pol = -4.89 | time = 12.43 | emb_accuracy = 0.94
Epoch 196 | avg_return = 0.46 | loss: val = 3.21, pol = -3.16 | time = 12.36 | emb_accuracy = 0.95
Epoch 197 | avg_return = 0.51 | loss: val = 3.01, pol = -1.49 | time = 12.34 | emb_accuracy = 0.91
Epoch 198 | avg_return = 0.52 | loss: val = 3.09, pol = -3.22 | time = 12.45 | emb_accuracy = 0.93
Epoch 199 | avg_return = 0.51 | loss: val = 3.08, pol = -4.72 | time = 12.18 | emb_accuracy = 0.95
